"","T_MAPCODE","T_BIOME","tar_sa","tar_gbf","ext_veg","ext_vegrem","ext_vegpa24","ext_vegrempa24","ext_invpa24","prp_pa_base24","ext_tar_sa","ext_tar_gbf","epl_base24","epl_nat24","ext_vegrempa_inv24","epl_nat_inv24"
"157","NKb3","Nama-Karoo",21,30,41253.296,40919.9956,604.1164,602.1256,0,0.0146440759545613,8663.19216,12375.9888,"PP","PP",602.1256,"PP"
"158","NKb4","Nama-Karoo",21,30,2677.2,2670.3192,4.0052,3.972,0,0.00149604063947408,562.212,803.16,"NP","NP",3.972,"NP"
"159","NKb6","Nama-Karoo",21,30,41250.6684,40909.9712,943.094,930.5056,2.06,0.0228625143926153,8662.640364,12375.20052,"PP","PP",929.0636,"PP"
"160","NKl1","Nama-Karoo",16,30,20205.9452,20074.7364,495.2044,493.0396,0,0.0245078562323331,3232.951232,6061.78356,"PP","PP",493.0396,"PP"
"161","NKl2","Nama-Karoo",16,30,8321.3632,8164.2908,1282.8832,1256.4344,0.2096,0.154167432566818,1331.418112,2496.40896,"MP","MP",1256.28768,"MP"
"162","NKu1","Nama-Karoo",21,30,17149.5756,16965.0208,21.106,21.0008,0,0.00123070100930078,3601.410876,5144.87268,"NP","NP",21.0008,"NP"
"163","NKu2","Nama-Karoo",21,30,11734.2756,11706.3608,1646.7864,1643.2796,0.9508,0.140339843390077,2464.197876,3520.28268,"MP","MP",1642.61404,"MP"
"164","NKu3","Nama-Karoo",21,30,42273.7272,40004.2396,248.1084,216.4372,0.318,0.00586909213910052,8877.482712,12682.11816,"NP","NP",216.2146,"NP"
"165","NKu4","Nama-Karoo",21,30,49834.4344,48084.2452,3500.9388,3197.2916,1.5312,0.0702514003048462,10465.231224,14950.33032,"PP","PP",3196.21976,"PP"
"166","SKs14","Succulent Karoo",26,30,838.9456,644.0144,97.646,97.3148,0,0.116391336935315,218.125856,251.68368,"PP","PP",97.3148,"PP"
"167","SKs7","Succulent Karoo",26,30,3151.7932,2540.0112,222.0888,220.5928,0.002,0.0704642677698524,819.466232,945.53796,"PP","PP",220.5914,"PP"
"168","SKs8","Succulent Karoo",26,30,868.0312,727.288,189.6392,188.754,0,0.218470488157569,225.688112,260.40936,"MP","MP",188.754,"MP"
"169","SKs9","Succulent Karoo",26,30,917.3924,884.7432,104.5556,104.3304,0,0.113970423125371,238.522024,275.21772,"PP","PP",104.3304,"PP"
"170","SKk3","Succulent Karoo",28,30,1320.886,1298.8296,392.21,390.5168,0,0.29692948520917,369.84808,396.2658,"WP","WP",390.5168,"WP"
"171","SKs12","Succulent Karoo",26,30,469.9288,423.524,34.8776,30.6368,0,0.074218902948702,122.181488,140.97864,"PP","PP",30.6368,"PP"
"172","SKk1","Succulent Karoo",28,30,1673.774,1666.85,240.0172,239.7456,0,0.143398810114149,468.65672,502.1322,"MP","MP",239.7456,"MP"
"173","SKk2","Succulent Karoo",28,30,129.9056,129.1548,47.1984,46.8252,0,0.363328447734355,36.373568,38.97168,"WP","WP",46.8252,"WP"
"174","SKk4","Succulent Karoo",28,30,983.548,979.3724,123.0472,122.8888,0,0.125105434610207,275.39344,295.0644,"PP","PP",122.8888,"PP"
"175","SKk5","Succulent Karoo",28,30,988.53,829.1768,12.7788,12.774,0,0.0129270735334284,276.7884,296.559,"NP","NP",12.774,"NP"
"176","SKk6","Succulent Karoo",28,30,59.8264,57.032,10.8888,10.8584,0,0.182006605779388,16.751392,17.94792,"MP","MP",10.8584,"MP"
"177","SKk7","Succulent Karoo",28,30,185.2136,130.8612,4.5328,4.2308,0.014,0.024473364806904,51.859808,55.56408,"PP","PP",4.221,"PP"
"178","SKk8","Succulent Karoo",26,30,2.86,0.6316,0,0,0,0,0.7436,0.858,"NP","NP",0,"NP"
"179","SKk9","Succulent Karoo",29,30,142.7656,140.2268,0.3384,0.3384,0.0032,0.00237031890035134,41.402024,42.82968,"NP","NP",0.33616,"NP"
"180","SKn1","Succulent Karoo",28,30,7582.1624,7342.0048,594.4852,582.9196,0,0.0784057592857679,2123.005472,2274.64872,"PP","PP",582.9196,"PP"
"181","SKn3","Succulent Karoo",28,30,3107.996,2891.024,67.7176,60.5848,0,0.0217881876295851,870.23888,932.3988,"PP","PP",60.5848,"PP"
"182","SKn4","Succulent Karoo",28,30,5040.6136,4581.266,258.6908,255.7996,0,0.0513212915189532,1411.371808,1512.18408,"PP","PP",255.7996,"PP"
"183","SKn5","Succulent Karoo",28,30,653.3436,650.5384,4.3924,4.3924,0,0.006722955578045,182.936208,196.00308,"NP","NP",4.3924,"NP"
"184","SKn6","Succulent Karoo",28,30,396.7944,391.506,2.9232,2.9216,0,0.00736703945418585,111.102432,119.03832,"NP","NP",2.9216,"NP"
"185","SKn7","Succulent Karoo",28,30,997.1488,907.9312,20.886,20.886,0,0.0209457204381131,279.201664,299.14464,"PP","PP",20.886,"PP"
"186","SKs10","Succulent Karoo",28,30,136.4288,133.9984,98.3304,95.992,0,0.720745179903364,38.200064,40.92864,"WP","WP",95.992,"WP"
"187","SKs11","Succulent Karoo",26,30,286.9792,286.6852,85.8156,85.7108,0,0.299030731147066,74.614592,86.09376,"WP","WP",85.7108,"WP"
"188","SKs13","Succulent Karoo",29,30,201.1296,108.1508,0.0896,0.0896,0,0.000445483906893863,58.327584,60.33888,"NP","NP",0.0896,"NP"
"189","SKv1","Succulent Karoo",19,30,540.74,447.9824,0.7956,0.6944,0.002,0.00147131708399601,102.7406,162.222,"NP","NP",0.693,"NP"
"190","SKv10","Succulent Karoo",16,30,240.126,226.2656,18.6132,18.3452,0,0.0775143049898803,38.42016,72.0378,"PP","PP",18.3452,"PP"
"191","SKv11","Succulent Karoo",16,30,1578.5704,1369.166,15.0064,14.9616,0.0016,0.00950632293624662,252.571264,473.57112,"PP","PP",14.96048,"PP"
"192","SKv13","Succulent Karoo",16,30,2555.2608,2513.968,69.6612,63.3872,0,0.0272618747957156,408.841728,766.57824,"PP","PP",63.3872,"PP"
"193","SKv14","Succulent Karoo",16,30,793.3056,769.2448,0,0,0,0,126.928896,237.99168,"NP","NP",0,"NP"
"194","SKv2","Succulent Karoo",19,30,559.3864,557.15,68.7072,68.6848,0,0.122826010786104,106.283416,167.81592,"MP","MP",68.6848,"MP"
"195","SKv3","Succulent Karoo",19,30,928.5724,902.9904,16.0912,15.7124,0.036,0.0173289664866197,176.428756,278.57172,"PP","PP",15.6872,"PP"
"196","SKv4","Succulent Karoo",19,30,1318.3684,1313.5804,185.9628,184.5764,0,0.141055261943475,250.489996,395.51052,"MP","MP",184.5764,"MP"
"197","SKv5","Succulent Karoo",19,30,6988.3064,6923.8212,978.2868,974.0504,0,0.139989110952548,1327.778216,2096.49192,"MP","MP",974.0504,"MP"
"198","SKv6","Succulent Karoo",19,30,4714.4892,4674.8652,13.944,13.8168,0,0.00295769051714022,895.752948,1414.34676,"NP","NP",13.8168,"NP"
"199","SKv7","Succulent Karoo",16,30,653.3552,496.252,22.7428,20.7708,0.1984,0.0348092431192099,104.536832,196.00656,"PP","PP",20.63192,"PP"
"200","SKv8","Succulent Karoo",16,30,4109.0248,3931.7928,429.2952,424.0936,0.0628,0.104476176439724,657.443968,1232.70744,"MP","MP",424.04964,"MP"
"201","SKt1","Succulent Karoo",18,30,101.7792,101.3284,0,0,0,0,18.320256,30.53376,"NP","NP",0,"NP"
"202","SKt2","Succulent Karoo",18,30,7632.554,7313.0976,20.8468,20.5552,0,0.00273130068912713,1373.85972,2289.7662,"NP","NP",20.5552,"NP"
"203","SKt3","Succulent Karoo",18,30,5357.996,5222.7172,3.4936,3.2928,0,0.000652034827946867,964.43928,1607.3988,"NP","NP",3.2928,"NP"
"204","FS11","Fynbos",36,30,39.6004,39.448,9.8608,9.8248,4.5608,0.249007585781962,14.256144,11.88012,"MP","MP",6.63224,"PP"
"205","FS12","Fynbos",36,30,119.0592,91.0064,18.2484,17.5476,1.5152,0.153271649733914,42.861312,35.71776,"PP","PP",16.48696,"PP"
"206","AT21","Albany Thicket",19,30,386.3068,310.8976,13.5144,9.5092,0.1748,0.0349835933511913,73.398292,115.89204,"PP","PP",9.38684,"PP"
"207","AT31","Albany Thicket",19,30,240.8016,210.196,6.524,6.5228,0.1708,0.027092843236922,45.752304,72.24048,"PP","PP",6.40324,"PP"
"208","AT38","Albany Thicket",19,30,1290.854,849.7652,171.4556,140.24,4.9608,0.132823386688192,245.26226,387.2562,"MP","MP",136.76744,"MP"
"209","AT45","Albany Thicket",19,30,697.0252,430.4944,132.3272,103.6816,0.0248,0.189845646900571,132.434788,209.10756,"MP","MP",103.66424,"MP"
"210","AT41","Albany Thicket",19,30,307.5216,207.8656,55.044,50.2292,0.8356,0.178992304930776,58.429104,92.25648,"MP","MP",49.64428,"MP"
"211","AT56","Albany Thicket",19,30,701.6176,465.9492,15.2376,14.2424,1.6464,0.021717813236156,133.307344,210.48528,"PP","PP",13.08992,"PP"
"212","AT18","Albany Thicket",19,30,1175.6312,1034.7104,187.3016,175.278,2.0592,0.159320031656186,223.369928,352.68936,"MP","MP",173.83656,"MP"
"213","AT24","Albany Thicket",19,30,2976.1348,2598.0464,88.8136,86.8108,0,0.0298419278589128,565.465612,892.84044,"PP","PP",86.8108,"PP"
"214","AT15","Albany Thicket",19,30,14.6008,14.5748,0.2872,0.276,0,0.0196701550599967,2.774152,4.38024,"PP","PP",0.276,"PP"
"215","AT16","Albany Thicket",19,30,53.7692,51.1648,2.71,2.6836,0,0.0504006010876115,10.216148,16.13076,"PP","PP",2.6836,"PP"
